"result_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"routingtableactive";"neighbor_id_0";"neighbor_petx_0";"neighbor_parent_0";"neighbor_id_1";"neighbor_petx_1";"neighbor_parent_1";"neighbor_id_2";"neighbor_petx_2";"neighbor_parent_2";"neighbor_id_3";"neighbor_petx_3";"neighbor_parent_3";"neighbor_id_4";"neighbor_petx_4";"neighbor_parent_4";"pkt_length";"parentparent"
"2016-08-18 17:51:08.505";21341;11501;5;22731;0;0;5;10;155;221;50;10;6;241;2972;196;346;0;14;23341;11;10501;22631;10;40031;20141;10;40031;21731;12;40031;0;0;0;55;40031
"2016-08-18 18:02:23.913";20841;22731;2;22731;0;0;5;10;112;221;50;10;217;223;3185;108;567;0;14;11501;12;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 18:19:56.084";23131;22631;5;22631;0;0;5;10;41;221;50;10;233;230;5930;21299;3526;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;11;40031;0;0;0;55;40031
"2016-08-18 18:23:26.592";22631;40031;1;40031;1;0;4;10;96;221;40;10;218;221;5217;10453;1786;3;20;22731;10;40031;20541;10;11301;20141;10;40031;11501;10;40031;0;0;0;55;11101
"2016-08-18 18:37:54.384";20841;22731;2;22731;0;0;5;10;118;221;50;10;216;223;3191;108;568;0;14;11501;12;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 18:46:12.884";21341;22631;5;22731;0;0;5;10;163;221;50;10;214;215;2980;196;348;0;14;23341;11;10501;22631;10;40031;20141;10;40031;11501;10;40031;0;0;0;55;40031
"2016-08-18 18:50:38.48";21141;11501;1;11501;2;0;5;10;94;221;50;10;0;216;2911;1;2250;45;14;48895;30;22631;20941;10;11501;21151;65535;20541;22931;11;20541;0;0;0;55;40031
"2016-08-18 18:54:44.832";22731;11301;2;40031;1;0;4;10;214;221;40;10;3;226;5335;8291;1644;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;11101
"2016-08-18 19:13:26.865";20841;22731;2;22731;0;0;5;10;123;221;50;10;215;223;3196;108;568;0;14;11501;11;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 19:41:18.332";21341;10101;5;10101;0;0;5;10;170;221;50;10;1;223;2987;196;348;0;14;22731;10;40031;23341;12;10501;22631;10;40031;20141;10;40031;0;0;0;55;40031
"2016-08-18 19:46:14.032";22831;20141;5;20141;1;0;5;10;1;221;50;10;227;221;1282;830;202;0;20;22731;10;40031;20541;10;11301;11501;10;40031;23341;10;40031;0;0;0;55;40031
"2016-08-18 19:48:55.464";20841;22731;2;22731;0;0;5;10;129;221;50;10;215;223;3202;108;572;0;14;11501;11;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 20:01:32.576";23131;22731;5;22631;0;0;5;10;50;221;50;10;229;229;5939;21301;3526;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;10;40031;0;0;0;55;40031
"2016-08-18 20:13:51.736";21141;11501;1;11501;0;0;5;10;105;221;50;10;0;215;2922;1;2253;45;14;48895;30;22631;20941;10;11501;21151;65535;20541;22931;11;20541;0;0;0;55;40031
"2016-08-18 20:24:26.689";20841;11501;2;22731;0;0;5;10;134;221;50;10;0;221;3207;108;573;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 20:25:24.609";22731;40031;2;40031;0;0;4;10;221;221;40;10;223;224;5342;8323;1649;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;11101
"2016-08-18 20:36:22.966";21341;11501;5;10101;0;0;5;10;180;221;50;10;7;241;2997;196;350;0;14;22731;10;40031;23341;11;10501;22631;10;40031;20141;10;40031;0;0;0;55;40031
