2016-08-18 15:09:22 Round: 1
nodeid	prnt_size
21031	4.0
21141	1.0
21831	5.0
21931	5.0
22031	5.0
22231	5.0
22431	1.0
22531	5.0
22631	1.0
22731	2.0
22831	5.0
23031	4.0
23131	5.0
30251	1.0
30451	1.0
30551	2.0
30751	2.0
31051	2.0
40231	4.0
50031	1.0
50131	5.0
50531	2.0
60331	5.0
60531	5.0
60831	4.0
60931	5.0
61131	4.0
61731	5.0
61831	5.0
62131	3.0
number of leaf nodes: 40	avg_prnt_size: 3.325	stdev: 1.61844833096

2016-08-21 13:44:03 Round: 36
nodeid	prnt_size
10011	1.0
10911	1.0
11001	5.0
11201	3.0
20151	5.0
20251	5.0
20301	5.0
20711	2.0
20841	2.0
20851	2.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21831	5.0
21931	5.0
22031	4.0
22331	5.0
22531	5.0
22831	5.0
22931	5.0
23131	5.0
30251	2.0
30451	1.0
30651	1.0
30751	3.0
31051	1.0
31131	5.0
31301	3.0
40231	4.0
50031	1.0
50131	5.0
50331	1.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
60931	4.0
61531	4.0
61731	5.0
61831	4.0
62031	1.0
number of leaf nodes: 43	avg_prnt_size: 3.60465116279	stdev: 1.63023089938

2016-08-21 15:45:36 Round: 37
nodeid	prnt_size
10011	1.0
10911	1.0
11801	3.0
20031	5.0
20251	5.0
20301	5.0
20841	2.0
21031	4.0
21341	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22231	1.0
22531	5.0
22631	2.0
23131	5.0
23241	3.0
30251	4.0
30851	1.0
31051	1.0
31301	3.0
50031	2.0
50331	1.0
50431	5.0
50531	2.0
60331	5.0
60631	5.0
60731	5.0
60831	5.0
60931	4.0
61231	5.0
61331	5.0
61431	5.0
61531	4.0
61731	5.0
62031	2.0
number of leaf nodes: 37	avg_prnt_size: 3.67567567568	stdev: 1.57778589398

2016-08-21 17:47:42 Round: 38
nodeid	prnt_size
10011	1.0
10911	1.0
11001	4.0
11201	4.0
11801	3.0
20031	5.0
20941	5.0
21141	1.0
21831	5.0
21931	5.0
22131	5.0
22531	5.0
22631	1.0
22831	5.0
22931	5.0
30251	4.0
30451	3.0
30851	1.0
31051	2.0
31301	3.0
40231	4.0
50031	3.0
50531	2.0
60001	1.0
60331	5.0
60631	5.0
60731	5.0
60831	5.0
60931	5.0
61131	5.0
61231	5.0
61431	5.0
61531	5.0
61731	5.0
61831	5.0
62231	4.0
number of leaf nodes: 36	avg_prnt_size: 3.80555555556	stdev: 1.52423832426

2016-08-21 19:48:03 Round: 39
nodeid	prnt_size
10011	1.0
10911	2.0
20031	5.0
20151	5.0
20251	5.0
20301	5.0
20541	1.0
20711	3.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22331	1.0
22531	5.0
22631	1.0
22731	2.0
22831	5.0
22931	5.0
23031	4.0
23131	5.0
23241	3.0
30251	3.0
30451	3.0
30651	2.0
30851	1.0
31051	1.0
40331	3.0
50031	2.0
50131	5.0
50331	1.0
60201	5.0
60331	5.0
60531	5.0
60631	5.0
60731	5.0
60831	5.0
60931	5.0
61131	5.0
61531	5.0
61731	5.0
61831	4.0
61931	2.0
62231	4.0
number of leaf nodes: 49	avg_prnt_size: 3.61224489796	stdev: 1.61392317712

2016-08-21 21:48:26 Round: 40
nodeid	prnt_size
10011	1.0
10911	2.0
11001	4.0
11201	4.0
11801	3.0
